OpenAlex_ID,Title,Authors,Year,Journal,DOI,URL,Abstract,Keywords,Query_String,Database
https://openalex.org/W4317213604,Green construction for low-carbon cities: a review,Lin Chen; Lepeng Huang; Jianmin Hua; Zhonghao Chen; Lilong Wei; Ahmed I. Osman; Samer Fawzy; David W. Rooney; Liang Dong; Pow‐Seng Yap,2023,Environmental Chemistry Letters,https://doi.org/10.1007/s10311-022-01544-4,https://doi.org/10.1007/s10311-022-01544-4,"Abstract The construction industry is a major user of non-renewable energy and contributor to emission of greenhouse gases, thus requiring to achieve net-zero carbon emissions by 2050. Indeed, construction activities account for 36% of global energy consumption and 39% of global carbon dioxide emissions. Reducing carbon emissions requires adapted government policies, carbon emission analysis and calculation models, and sustainable materials. Here, we review green construction with focus on history, carbon emissions, policies, models, life cycle assessment, and sustainable materials such as biochar, bioplastic, agricultural waste, animal wool, fly ash and self-healing concrete. Analysis of carbon emissions over the building life cycle shows that the construction phase accounts for 20–50% of total carbon emissions. The average ratio of construction phase annual emissions to operation phase emissions is 0.62. We present national policy frameworks and technology roadmaps from the United States of America, Japan, China, and the European Union, highlighting plans to achieve carbon neutrality in the building sector.",Greenhouse gas; Life-cycle assessment; Environmental science; Renewable energy; Carbon neutrality; Global warming; Carbon fibers; Natural resource economics,OpenAlex_String1_General,OpenAlex
https://openalex.org/W3171586889,The Life Cycle Assessment for Polylactic Acid (PLA) to Make It a Low-Carbon Material,Erfan Rezvani Ghomi; Fatemeh Khosravi; Ali Saedi Ardahaei; Yunqian Dai; Rasoul Esmaeely Neisiany; Firoozeh Foroughi; Min Wu; Oisik Das; Seeram Ramakrishna,2021,Polymers,https://doi.org/10.3390/polym13111854,https://doi.org/10.3390/polym13111854,"The massive plastic production worldwide leads to a global concern for the pollution made by the plastic wastes and the environmental issues associated with them. One of the best solutions is replacing the fossil-based plastics with bioplastics. Bioplastics such as polylactic acid (PLA) are biodegradable materials with less greenhouse gas (GHG) emissions. PLA is a biopolymer produced from natural resources with good mechanical and chemical properties, therefore, it is used widely in packaging, agriculture, and biomedical industries. PLA products mostly end up in landfills or composting. In this review paper, the existing life cycle assessments (LCA) for PLA were comprehensively reviewed and classified. According to the LCAs, the energy and materials used in the whole life cycle of PLA were reported. Finally, the GHG emissions of PLA in each stage of its life cycle, including feedstock acquisition and conversion, manufacturing of PLA products, the PLA applications, and the end of life (EoL) options, were described. The most energy-intensive stage in the life cycle of PLA is its conversion. By optimizing the conversion process of PLA, it is possible to make it a low-carbon material with less dependence on energy sources.",Bioplastic; Polylactic acid; Life-cycle assessment; Raw material; Greenhouse gas; Waste management; Environmental pollution; Environmental science,OpenAlex_String1_General,OpenAlex
https://openalex.org/W3175055895,Bamboo as a Sustainable Building Material—Culm Characteristics and Properties,Kitti Chaowana; Supanit Wisadsatorn; Pannipa Chaowana,2021,Sustainability,https://doi.org/10.3390/su13137376,https://doi.org/10.3390/su13137376,"Bamboo culm is a renewable and lightweight material with high strength, particularly tensile strength. It is well accepted that bamboo culms have played a significant role in architecture because of their sustainable contribution. The culm characteristics and properties of three-year-old bamboo from five species (Dendrocalamus asper, Dendrocalamus sericeus, Dendrocalamus membranaceus, Thyrsostachys oliveri, and Phyllostachys makinoi) were investigated. The results show that each bamboo species has different culm characteristics along with culm length. Culm size, particularly the outer culm diameter and culm wall thickness, affects the ultimate load. These results confirm that a bigger culm with a thicker wall could receive more load. D. asper received the highest ultimate load, while T. oliveri received the lowest ultimate load. However, when calculating the test results for stress (load per cross-section area), P. Makinoi showed excellent mechanical properties, while D. asper showed the worst mechanical properties. This research promotes bamboo’s appropriate use for building applications and as a more sustainable material for architecture.",Bamboo; Phyllostachys; Ultimate tensile strength; Phyllostachys edulis; Materials science; Composite material; Horticulture; Botany,OpenAlex_String1_General,OpenAlex
https://openalex.org/W1783443083,Understanding barriers affecting the selection of sustainable materials in building projects,Peter Oluwole Akadiri,2015,Journal of Building Engineering,https://doi.org/10.1016/j.jobe.2015.08.006,https://doi.org/10.1016/j.jobe.2015.08.006,,Selection (genetic algorithm); Architectural engineering; Construction engineering; Material selection; Engineering; Business; Computer science; Materials science,OpenAlex_String1_General,OpenAlex
https://openalex.org/W4321132687,Assessment of barriers to the adoption of sustainable building materials (SBM) in the construction industry of a developing country,Emmanuel Chidiebere Eze; Onyinye Sofolahan; Olayinka Omoboye,2023,Frontiers in Engineering and Built Environment,https://doi.org/10.1108/febe-07-2022-0029,https://doi.org/10.1108/febe-07-2022-0029,"Purpose Sustainable/Green building materials (SBMs/GBMs) offer a wide range of benefits which cut across the economic, social and environmental dimensions of sustainability. The incorporation of these materials in construction projects in most developing countries is still low owing to some factors. This study assessed the major barriers to the incorporation of SBMs in the delivery of construction projects in developing countries, with Nigeria as a case in point. Design/methodology/approach The well-structured quantitative questionnaire was used to gather data from the key players in the construction industry, using the snowball sampling method and electronic means of questionnaire administration. Frequencies, percentile, relative importance index, Kruskal–Wallis H test, Kendall's coefficient of concordance and exploratory factor analysis were used to analyse the gathered data. Findings The study revealed that the major constructs of barriers to SBM adoption in construction projects are: (1) resistance and information barriers (Eigenvalues = 5.237; % of V = 23.806), (2) regulation and funding of R&D (Eigenvalues = 2.741; % of V = 12.457), (3) cost and market barriers (Eigenvalues = 2.223; % of V = 10.105), (4) government incentive and suppliers' availability (Eigenvalues = 1.728; % of V = 7.852) and (5) GB experts and labour barriers (Eigenvalues = 1.307; % of V = 5.942). Originality/value This study assessed the view of construction experts in the five states of the south-eastern geo-political zone of Nigeria, particularly as regards the barriers to the incorporation of sustainable building materials in construction projects in the region.",Snowball sampling; Developing country; Government (linguistics); Sustainability; Incentive; Business; Index (typography); Engineering,OpenAlex_String1_General,OpenAlex
https://openalex.org/W4318814507,Factors influencing the intention to adopt green construction: an application of the theory of planned behaviour,P .F Tunji-Olayeni; Kahilu Kajimo‐Shakantu; Timothy Oluwafemi Ayodele,2023,Smart and Sustainable Built Environment,https://doi.org/10.1108/sasbe-06-2022-0126,https://doi.org/10.1108/sasbe-06-2022-0126,"Purpose The aim of this paper is to assess the behavioural factors that influence professionals' intention to adopt green construction based on the theory of planned behaviour (TPB). Design/methodology/approach The study adopted a quantitative research design with the use of online questionnaires to elicit information from construction professionals in South Africa. Descriptive statistics of frequencies, mean and standard deviation were used to analyse the data obtained from the survey. Linear regression was also used to assess the effect of behavioural factors on professionals' intention to adopt green construction. Findings The results showed that attitude and perceived behavioural control (PBC) have a significant effect on the intention to adopt green construction. These were significant at p < 0.05, having p-values of 0.000 and 0.015 respectively. The study also found that there was a positive disposition towards green construction, particularly with regards to insisting on green construction. This had a mean value of 3.99. There was also a high perception of succeeding in the execution of green projects with mean score of 3.76. Practical implications The practical implication of the findings is that adoption of green construction in South Africa is majorly based on the positive attitude of stakeholders towards green construction and also the PBC or the perceived ease of executing green construction. However, these factors are not sufficient to generate long term commitment for green transformation among a critical mass of stakeholders in the South African construction industry. Hence, there is a need for focus on subjective norms (pressure) particularly from the government, to encourage the widespread adoption of green construction in South Africa. Originality/value Findings present one of the pioneering efforts to empirically validate the influence of behavioural factors on the intention to adopt green construction in South Africa and the outcomes can provide policy directions and baseline data for further research.",Theory of planned behavior; Descriptive statistics; Psychology; Control (management); Perception; Value (mathematics); Marketing; Construction industry,OpenAlex_String1_General,OpenAlex
https://openalex.org/W4308842361,Green building research in South Africa: A scoping review and future roadmaps,Favour David Agbajor; Modupe Cecilia Mewomo,2022,Energy and Built Environment,https://doi.org/10.1016/j.enbenv.2022.11.001,https://doi.org/10.1016/j.enbenv.2022.11.001,"The construction industry is recognised to pose serious environmental threats due to its anthropogenic activities. To confront this challenge, green building has been famed as an auspicious strategy to alleviate energy-related carbon emissions alongside climate change mitigation. Consequently, it has birthed diverse empirical studies and holistic reviews by the research community. However, these previous studies have been carried out from a global and continental viewpoint regardless of the green building development specifically in emerging economies. This present study seeks to fill the sparse research upshots on the synthesis of green building research at the country level with core focus on South Africa. In this light, the current study provides a scoping overview of the intellectual exploration on green building research in the South African context. The study's findings highlight the varying growth regarding the subject matter, the drivers, drawbacks, and socio-economic issues confronting in developing green building projects in the country. To optimize the advancement of green building in the region, this study recommends the implementation of financing schemes, utilization of advanced digital technologies, and promotion of green and sustainable building curricula across the institutions as well as post-occupancy-related studies within the green building spectrum towards a safe and salutogenic built-environment in the country.",Green building; Context (archaeology); Promotion (chess); Capacity building; Built environment; Business; Sustainability; Empirical research,OpenAlex_String1_General,OpenAlex
https://openalex.org/W4387101021,"Bamboo as Sustainable Building Materials: A Systematic Review of Properties, Treatment Methods, and Standards",Maria Fe V. Adier; Maria Emilia P. Sevilla; Daniel Nichol R. Valerio; Jason Maximino C. Ongpeng,2023,Buildings,https://doi.org/10.3390/buildings13102449,https://doi.org/10.3390/buildings13102449,"Bamboo is the building material of the past and future. It offers numerous properties that make it versatile for various applications, including construction. Its impressive strength-to-weight ratio enables it to bear substantial loads and stresses, while its good elasticity allows efficient energy absorption. However, its mechanical properties can vary based on factors such as species, age, locations, methods, and treatment. Treating bamboo is essential to enhance its properties and durability. The literature provides various natural and chemical treatments that enhance some of the properties but also reported drawbacks regarding higher temperature, content, and duration. This paper reviewed 57 articles from the Scopus database, specifically focusing on article–document-type publications from the years 2003 to 2023. Additional references were also incorporated to address concerns in properties, treatment, and standards to provide systematic understanding. With extensive assessment of the articles, the following gaps and concerns were observed, and recommendations for further study and assessment were made: the bamboo’s properties, the development of centralized guidelines and procedures for the preparation and processing; the exploration of alternative materials to reinforce bamboo without compromising its ductility; and the development of joint connections, and testing of mechanical properties considering seismic, wind and vibration. For treatment methods, the standardization of procedures using natural, chemical, or a combination. Lastly, for bamboo codes and standards, the assessment of existing codes and standards for testing the mechanical properties of bamboo, highlighting the potential limitations and areas, uniformity, and differences with all existing similar standards. By filling these gaps, it can support the reliability and robustness of bamboo as a sustainable material, fostering its promotion and adoption in the construction industry.",Bamboo; Standardization; Construction engineering; Natural materials; Computer science; Civil engineering; Environmental science; Architectural engineering,OpenAlex_String1_General,OpenAlex
https://openalex.org/W4392716189,"Bamboo as a Sustainable Building Material for Innovative, Low-Cost Housing Construction",Jan Bredenoord,2024,Sustainability,https://doi.org/10.3390/su16062347,https://doi.org/10.3390/su16062347,"Bamboo is commonly used as a construction material in low-cost housing projects located in tropical and subtropical countries. This practice is especially prevalent in rural areas where bamboo grows naturally and families have experience working with it. Bamboo can be a sustainable building material for homes, even in cases where houses need to be resistant to earthquakes or storms. The traditional bahareque technology was enhanced in Costa Rica and Colombia to make it earthquake resistant. After the year 2000, this technology was transferred to several other countries in Latin America and Asia, gaining recognition as an innovative building technique. Many successful examples of bamboo housing constructions can be found in various countries, where modern architectural solutions are combined with innovative bamboo methods. Local communities can play a crucial role in bamboo processing, allowing residents to actively participate in the construction of their homes under technical supervision. This emphasizes the social sustainability aspect associated with bamboo. Ensuring the durability of bamboo housing constructions is paramount for the longevity of the houses, highlighting the need for technical assistance for self-builders and resident groups. With proper organization, bamboo housing has the potential to become part of the social production of housing.",Bamboo; Sustainability; Business; Latin Americans; Architectural engineering; Public housing; Economic growth; Environmental planning,OpenAlex_String1_General,OpenAlex
https://openalex.org/W4407503222,A comprehensive review of hempcrete as a sustainable building material,Kari Steyn; Wibke De Villiers; Adewumi John Babafemi,2025,Innovative Infrastructure Solutions,https://doi.org/10.1007/s41062-025-01906-1,https://doi.org/10.1007/s41062-025-01906-1,"Abstract Due to the substantial contribution of the construction industry to greenhouse gas emissions, there exists a pressing need for the development and adoption of sustainable alternatives. In this context, hempcrete has emerged as a promising alternative in the pursuit of sustainable construction practices. This paper presents a comprehensive review of the existing research landscape surrounding hempcrete as a sustainable building material. The review explores the primary materials utilised in hempcrete, followed by an analysis of the opportunities and limitations associated with the material. Furthermore, the paper investigates diverse construction techniques and practical applications, binders, mix designs, as well as the properties of hempcrete spanning from fresh-state characteristics to the mechanical, durability, thermal, and acoustic properties of the material. Moreover, the environmental sustainability as well as the cost of hempcrete construction are investigated. Upon analysis of the research presented in this review paper, it becomes apparent that hempcrete demonstrates noteworthy potential as a sustainable solution in the construction sector, emphasising its role in reducing the environmental impacts brought about by the construction industry. This review paper presents the findings of the current research landscape of hempcrete and provides insights for future research endeavours aimed at optimising the performance of hempcrete.",Environmental engineering science; Biogeosciences; Engineering; Computer science; Construction engineering; Geology; Earth science,OpenAlex_String1_General,OpenAlex
